"","salary","age","family_members","target","city_Екатеринбург","city_Киев","city_Краснодар","city_Минск","city_Москва","city_Новосибирск","city_Омск","city_Петербург","city_Томск","city_Хабаровск","city_Ярославль","vacation_preference_Архитектура","vacation_preference_Ночные клубы","vacation_preference_Пляжный отдых","vacation_preference_Шоппинг","transport_preference_Автомобиль","transport_preference_Космический корабль","transport_preference_Морской транспорт","transport_preference_Поезд","transport_preference_Самолет"
"25","53000","55","2","Paris","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"26","74000","61","1","London","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"27","135000","40","0","New York","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"28","82000","77","1","Tokio","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
"29","109000","66","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"30","68000","79","2","Sydney","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"31","61000","59","1","London","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"32","71000","70","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"33","70000","33","1","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"34","28000","66","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"35","188000","65","1","London","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"36","97000","63","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"37","88000","36","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"38","121000","36","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"39","87000","36","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"40","205000","51","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"41","100000","53","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"42","154000","56","1","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"43","166000","51","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"44","97000","46","0","London","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"45","77000","54","2","New York","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0"
"46","152000","65","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"47","72000","39","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"48","198000","60","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"49","175000","68","0","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"50","67000","62","2","New York","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"51","97000","55","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"52","63000","33","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"53","119000","46","1","Paris","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"54","105000","49","2","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"55","182000","60","1","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"56","151000","68","3","Tokio","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"57","171000","68","2","Tokio","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"58","70000","60","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"59","181000","34","1","New York","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"60","58000","66","2","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"61","40000","58","1","London","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"62","91000","62","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"63","78000","63","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"64","65000","50","3","Paris","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"65","71000","60","3","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"66","90000","50","2","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0"
"67","86000","46","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0"
"68","36000","68","2","Sydney","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"69","134000","34","0","New York","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
"70","125000","63","0","London","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"71","79000","52","1","New York","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0"
"72","60000","56","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"73","117000","68","2","Sydney","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"74","77000","57","2","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0"
"75","85000","37","1","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0"
"76","161000","35","0","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"77","167000","55","1","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"78","4000","57","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"79","66000","60","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"80","46000","30","1","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"81","170000","34","0","New York","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"82","104000","54","2","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"83","152000","55","1","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
"84","171000","62","1","Tokio","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"85","55000","33","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"86","178000","67","1","Sydney","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1"
"87","60000","61","1","London","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"88","81000","55","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"89","127000","57","0","London","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"90","85000","63","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"91","224000","18","1","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"92","173000","56","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"93","167000","63","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"94","53000","27","0","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"95","170000","67","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"96","64000","61","1","London","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"97","120000","38","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"98","63000","50","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
"99","75000","43","0","Paris","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"100","49000","61","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"101","64000","57","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"102","44000","60","3","New York","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"103","123000","63","2","Paris","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"104","199000","68","1","London","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"105","103000","73","2","Paris","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"106","85000","63","1","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"107","146000","37","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"108","192000","62","1","London","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"109","59000","62","1","London","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"110","157000","64","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"111","232000","67","1","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"112","187000","63","0","London","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"113","185000","36","1","New York","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"114","235000","74","1","London","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"115","180000","63","1","Paris","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"116","70000","61","2","New York","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"117","107000","59","3","Sydney","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"118","62000","46","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"119","124000","33","0","Paris","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"120","92000","47","2","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"121","94000","67","2","New York","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"122","160000","39","0","New York","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"123","60000","60","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"124","51000","56","3","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"125","86000","49","2","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0"
"126","57000","65","3","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
"127","102000","56","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"128","64000","64","1","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
"129","170000","50","2","Tokio","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"130","158000","35","0","New York","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"131","169000","58","1","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"132","91000","61","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"133","192000","61","0","Sydney","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"134","91000","60","1","London","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"135","178000","54","1","London","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"136","172000","63","1","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"137","147000","63","1","Sydney","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0"
"138","146000","67","1","Sydney","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"139","78000","64","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"140","73000","62","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"141","35000","49","0","London","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"142","118000","47","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"143","167000","69","1","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"144","73000","58","2","New York","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"145","217000","25","1","New York","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"146","54000","70","2","New York","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"147","92000","50","3","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"148","62000","53","3","New York","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"149","140000","36","1","New York","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
"150","147000","67","3","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"151","92000","64","2","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"152","175000","60","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"153","47000","63","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"154","51000","31","1","Paris","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0"
"155","103000","48","1","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
"156","55000","58","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"157","112000","66","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"158","78000","36","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"159","46000","76","1","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
"160","68000","71","1","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"161","129000","53","1","London","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"162","66000","45","1","Paris","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"163","160000","68","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"164","204000","64","1","Sydney","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"165","42000","61","1","London","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"166","39000","36","0","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"167","166000","66","1","Sydney","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"168","100000","46","3","Tokio","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"169","91000","61","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"170","58000","57","0","London","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
"171","77000","61","0","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"172","83000","60","2","Tokio","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"173","92000","60","0","London","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"174","161000","60","0","Sydney","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"175","102000","47","2","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"176","145000","41","0","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"177","79000","62","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"178","184000","61","0","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"179","84000","38","3","Tokio","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"180","82000","59","0","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"181","77000","48","0","Paris","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"182","87000","40","0","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"183","103000","60","2","Paris","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0"
"184","86000","65","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"185","46000","58","1","New York","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"186","81000","57","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"187","54000","60","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"188","75000","59","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"189","89000","45","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"190","29000","59","1","New York","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"191","59000","36","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"192","72000","66","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"193","170000","60","0","London","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"194","127000","60","1","Sydney","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
"195","63000","57","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"196","99000","60","2","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
"197","135000","66","1","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"198","81000","53","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"199","72000","51","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"200","155000","60","0","London","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"201","27000","70","2","Paris","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"202","32000","67","2","New York","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0"
"203","0","30","0","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"204","181000","55","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"205","200000","61","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"206","180000","67","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"207","167000","71","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"208","100000","38","1","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0"
"209","53000","39","0","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
"210","87000","56","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"211","152000","61","2","Tokio","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"212","98000","58","2","Paris","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"213","96000","62","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"214","225000","59","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"215","67000","56","2","New York","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"216","60000","70","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"217","194000","32","0","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"218","15000","37","0","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"219","47000","61","3","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"220","103000","65","1","London","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"221","131000","51","0","London","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
"222","156000","61","2","Tokio","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"223","70000","58","0","London","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"224","70000","43","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"225","105000","54","1","Sydney","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0"
"226","180000","81","0","Sydney","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"227","20000","67","1","Sydney","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"228","64000","64","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"229","95000","55","3","New York","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"230","166000","40","0","New York","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
"231","8000","77","2","Tokio","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"232","58000","44","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"233","26000","43","0","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"234","90000","59","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"235","72000","61","1","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"236","88000","62","2","Paris","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
"237","233000","71","1","London","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"238","181000","60","1","London","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"239","126000","72","1","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"240","86000","62","1","Paris","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"241","109000","55","2","New York","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"242","193000","66","0","London","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"243","151000","54","0","London","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"244","21000","36","1","Paris","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"245","75000","69","2","Tokio","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
"246","116000","60","2","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
